Produce_Type,Harvest_Date,Measurement_Date,Initial_Brix_Level,Initial_Weight,Initial_Damage_Score,Pretreatment,Avg_Temp_C,Avg_Humidity_%,Packaging,Age_at_Measurement,Remaining_Shelf_Life_Days
tomato,2025-10-31,2025-11-04,4.1,102.6,0.06,none,,66.91701714644849,perforated_bag,4,8.362040038942832
potato,2025-10-28,2025-11-02,7.3,321.2,,pre-cooled,0.26188044880734296,78.62476458805303,sealed_punnet,5,49.76824270463502
apple,2025-08-22,2025-11-02,15.9,139.6,,waxed,17.897200603606436,54.36989217474354,loose,72,0.0
strawberry,2025-10-02,2025-11-04,9.1,386.2,1.46,washed,9.713448935920386,75.05243699718183,sealed_punnet,33,0.0
apple,2025-10-24,2025-11-02,14.0,200.4,2.22,none,1.6035061098500698,61.31409884458143,perforated_bag,9,30.469251136154654
apple,2025-09-23,2025-11-02,13.3,192.9,1.49,none,3.754540390330339,,carton,40,0.0
strawberry,2025-11-01,2025-11-02,30.0,184.1,2.87,washed,6.9236222482841985,89.89045173884479,perforated_bag,1,5.3122461147084845
grape,2025-10-04,2025-11-03,20.1,424.3,2.55,washed,,72.30593165555442,carton,30,0.0
tomato,2025-08-20,2025-11-04,4.0,135.1,2.71,washed,6.992101671191796,74.85281741365063,carton,76,0.0
potato,2025-09-14,2025-11-04,4.7,236.4,0.5,waxed,7.643519841948846,78.66598246096848,perforated_bag,51,3.241719361053989
orange,2025-10-21,2025-11-04,9.4,135.7,0.79,pre-cooled,5.041919977399026,66.84500926711512,sealed_punnet,14,19.32207092625453
potato,2025-09-25,2025-11-02,7.5,380.2,1.7,none,2.4063663222334544,68.00274492007415,carton,38,13.329152566721353
banana,2025-09-05,2025-11-04,20.9,145.6,0.34,none,5.518545109857792,69.52720163662478,perforated_bag,60,0.0
tomato,2025-11-01,2025-11-04,5.0,143.9,1.84,washed,10.754819802218108,66.9186835566692,loose,3,11.488954698131979
potato,2025-10-15,2025-11-04,5.3,202.9,1.34,none,-1.0,73.1309487743959,perforated_bag,20,31.833760474343116
apple,2025-09-02,2025-11-03,13.5,216.9,0.55,washed,,60.92841969177142,loose,62,0.0
apple,2025-10-06,2025-11-03,15.9,198.8,3.01,waxed,,37.034669036779725,loose,28,8.94294571861899
apple,2025-10-20,2025-11-04,12.5,247.7,0.58,waxed,6.051498464941216,75.48521627944827,perforated_bag,15,27.149464956178168
grape,2025-08-27,2025-11-02,21.3,475.3,0.82,,5.745273502512503,67.75998203395702,carton,67,0.0
potato,2025-09-04,2025-11-04,,210.6,0.12,pre-cooled,10.17344076951974,67.36740843457483,perforated_bag,61,0.0
banana,2025-09-19,2025-11-04,,120.3,0.18,pre-cooled,8.393208943735903,95.0,carton,46,0.0
banana,2025-10-14,2025-11-02,,127.1,4.22,none,9.115540652384256,66.35765013498339,loose,19,0.0
grape,2025-10-20,2025-11-04,22.7,198.9,,waxed,6.268181757436948,79.8804407937875,carton,15,0.0
orange,2025-10-22,2025-11-02,10.4,234.0,5.0,pre-cooled,,77.89774856896413,carton,11,19.053830364400227
strawberry,2025-10-05,2025-11-03,8.0,208.1,0.57,none,18.505262165811498,72.61911648806,loose,29,0.0
apple,2025-08-24,2025-11-03,10.8,223.2,3.47,waxed,-0.6334059270236558,60.214137542201584,carton,71,0.0
strawberry,2025-09-02,2025-11-04,9.0,158.4,0.59,washed,12.410274355763988,46.90331475247835,loose,63,0.0
banana,2025-10-07,2025-11-02,22.8,,0.48,pre-cooled,9.334648421147794,72.30125064706628,perforated_bag,26,0.0
banana,2025-09-14,2025-11-02,20.1,106.3,1.8,washed,8.920672342560373,58.67781920571481,carton,49,0.0
tomato,2025-09-28,2025-11-02,5.0,153.4,0.39,washed,10.488132934467549,77.7996862631982,carton,35,0.0
strawberry,2025-08-23,2025-11-02,8.4,256.0,0.38,pre-cooled,14.951373095308941,63.00292719088378,loose,71,0.0
strawberry,2025-08-18,2025-11-02,,249.8,3.35,none,3.3710653995017594,60.668698947464335,loose,76,0.0
grape,2025-11-03,2025-11-03,23.4,54.24,0.03,none,1.0859969929350122,70.22695786836321,loose,0,11.807728992008226
strawberry,2025-10-17,2025-11-03,8.0,254.7,1.08,washed,14.676086101157573,72.54256935914056,perforated_bag,17,0.0
orange,2025-09-15,2025-11-04,12.8,139.3,2.18,pre-cooled,0.4652842791117191,100.0,carton,50,0.0
banana,2025-10-29,2025-11-02,19.2,,1.22,,6.177655302043465,76.98084760767856,carton,4,8.354368979011706
banana,2025-10-29,2025-11-02,20.6,126.1,,none,,88.88582269040288,carton,4,4.633882395997677
orange,2025-08-21,2025-11-03,10.6,123.3,2.13,pre-cooled,8.499671632862224,61.73460983890241,sealed_punnet,74,0.0
tomato,2025-11-01,2025-11-04,3.1,92.5,0.82,pre-cooled,8.165016192129706,63.70948228782771,carton,3,14.405596725171236
banana,2025-10-16,2025-11-04,23.1,164.7,4.8,waxed,,65.59586225432098,perforated_bag,19,0.0
banana,2025-10-11,2025-11-02,20.5,170.3,0.83,none,13.63066511121059,44.986637083376365,loose,22,0.0
grape,2025-10-05,2025-11-03,,343.2,0.81,none,8.269054707862145,60.869756546582224,sealed_punnet,29,0.0
apple,2025-09-01,2025-11-03,11.5,138.1,2.46,washed,5.90712524809028,95.0,carton,63,0.0
apple,2025-10-21,2025-11-04,11.6,192.0,0.48,washed,13.737908526808354,,loose,14,21.80158951532821
apple,2025-11-03,2025-11-04,14.0,142.8,,washed,14.634687063158951,79.44640134199052,loose,1,29.932607797049627
orange,2025-09-24,2025-11-04,9.3,198.4,0.65,washed,5.602115166321492,66.21190824562947,loose,41,0.0
potato,2025-10-06,2025-11-02,5.9,315.9,0.56,none,8.007804762914732,66.8876035104201,loose,27,22.646016223374836
orange,2025-10-14,2025-11-03,11.4,163.5,,waxed,5.98399058749001,68.41231174218643,sealed_punnet,20,13.383147628156888
banana,2025-09-07,2025-11-03,19.5,163.7,2.39,washed,4.119098826636698,93.12448557996929,sealed_punnet,57,0.0
tomato,2025-09-18,2025-11-03,5.2,184.8,2.75,washed,2.0419563325877834,72.73754780991324,carton,46,0.0
grape,2025-11-02,2025-09-10,17.8,495.7,2.03,pre-cooled,5.789502865624059,58.39039066484008,sealed_punnet,53,0.0
tomato,2025-09-20,2025-11-02,6.9,193.3,3.43,none,14.23319865758543,57.440731488410506,loose,43,0.0
orange,2025-10-09,2025-11-02,9.9,135.7,1.71,none,12.480603884704918,54.45269653553949,loose,24,1.3463172597125026
potato,2025-09-07,2025-11-04,7.2,229.7,2.85,waxed,9.65028158657649,55.70315403685842,perforated_bag,58,0.0
banana,2025-10-16,2025-11-04,23.6,161.9,0.83,none,6.246851967826273,85.65480375065351,sealed_punnet,19,0.0
banana,2025-09-15,2025-11-02,,111.5,1.05,waxed,0.9545390246003125,57.414010000058525,sealed_punnet,48,0.0
banana,2025-10-11,2025-11-04,,151.2,3.1,waxed,5.895945337839656,77.3421473253652,carton,24,0.0
potato,2025-09-28,2025-11-03,6.1,207.7,0.83,waxed,17.835514571918182,79.45330269345259,loose,36,10.392827597022904
grape,2025-09-03,2025-11-03,21.6,,0.8,washed,19.102521239949276,53.15104447500629,loose,61,0.0
tomato,2025-09-22,2025-11-03,6.5,111.9,2.23,none,7.799449607083308,61.97637392924569,loose,42,0.0
grape,2025-10-28,2025-11-03,21.8,323.6,0.83,waxed,2.482723087941891,67.69069960058081,perforated_bag,6,10.493952537972486
tomato,2025-09-25,2025-11-03,,161.4,0.17,waxed,12.822512311811348,78.43135051016874,perforated_bag,39,0.0
banana,2025-09-02,2025-11-03,22.2,151.2,,pre-cooled,8.461446543592093,100.0,sealed_punnet,62,0.0
tomato,2025-08-26,2025-11-02,6.0,99.3,2.02,none,,49.9972921526488,loose,68,0.0
grape,2025-11-03,2025-11-04,21.1,240.9,2.41,waxed,,75.46436548156149,carton,1,16.19064530136127
apple,2025-10-26,2025-11-02,12.1,202.2,1.64,waxed,14.690111773984219,60.57544860339727,loose,7,30.11743018319241
strawberry,2025-10-11,2025-11-02,7.4,305.2,0.79,waxed,8.531878696587505,67.99879185060827,perforated_bag,22,0.0
banana,2025-11-02,2025-11-04,22.6,151.5,0.94,pre-cooled,-2.3931152209969877,54.64759759374496,carton,2,8.992998772232257
potato,2025-09-02,2025-11-02,5.1,387.7,3.88,none,11.11129839256297,73.46223827312218,loose,61,0.0
apple,2025-10-01,2025-11-03,15.9,173.2,0.68,none,7.603296544882468,100.0,perforated_bag,33,5.330914042371838
strawberry,2025-11-01,2025-11-03,7.9,,1.0,washed,3.992636756662071,84.50502755282625,sealed_punnet,2,7.043820691181507
orange,2025-09-04,2025-11-02,9.5,124.2,,none,9.827012876615136,81.42722759867544,perforated_bag,59,0.0
tomato,2025-09-26,2025-11-04,4.7,104.1,0.63,none,7.474213701058492,78.74977938339708,sealed_punnet,39,0.0
tomato,2025-10-13,2025-11-02,3.0,88.7,0.1,washed,5.275793370100477,70.5381656678522,perforated_bag,20,0.0
grape,2025-10-11,2025-11-02,16.3,318.2,2.12,waxed,9.520669109963576,64.46557669311792,loose,22,0.0
strawberry,2025-09-16,2025-11-02,,279.4,1.44,washed,2.5249059324223717,100.0,carton,47,0.0
banana,2025-10-28,2025-11-03,22.1,32.42,0.42,washed,,,perforated_bag,6,6.052751151779515
orange,2025-11-01,2025-11-02,11.8,233.2,0.72,washed,,60.71556443904209,loose,1,24.36769077040899
grape,2025-08-31,2025-11-04,22.5,,3.03,pre-cooled,9.267029945354322,76.14533366215464,sealed_punnet,65,0.0
strawberry,2025-10-28,2025-11-04,,204.8,0.86,waxed,8.791643133850592,68.48581996385552,perforated_bag,7,0.0
banana,2025-09-02,2025-11-03,22.3,110.6,,pre-cooled,9.3535088122689,95.0,loose,62,0.0
strawberry,2025-10-19,2025-11-02,9.5,331.8,0.16,pre-cooled,12.600156633591306,56.91148155091986,loose,14,0.0
banana,2025-10-05,2025-11-02,22.4,,,pre-cooled,4.3935970158577105,59.38193138604528,perforated_bag,28,0.0
tomato,2025-10-13,2025-11-03,5.9,95.8,4.06,washed,,89.76540349725896,sealed_punnet,21,0.0
banana,2025-09-26,2025-11-04,21.1,122.3,,washed,10.542550105032548,,loose,39,0.0
orange,2025-08-19,2025-11-04,12.1,137.0,3.51,waxed,2.6409903161215684,62.053185242790946,sealed_punnet,77,0.0
strawberry,2025-10-29,2025-11-04,,257.7,1.76,waxed,,34.85810972784017,loose,6,0.6806857944142404
tomato,2025-10-21,2025-11-04,,176.7,,waxed,8.55066522634048,71.78364948782617,carton,14,0.0
apple,2025-10-26,2025-11-04,15.6,125.1,0.68,waxed,13.898630934700618,60.58062141942964,loose,9,29.843120146374446
banana,2025-10-10,2025-11-03,20.7,136.4,1.9,none,5.757850259674253,84.16327674702481,sealed_punnet,24,0.0
apple,2025-11-01,2025-11-04,14.0,,2.41,waxed,7.210170070062233,65.61532089794152,carton,3,36.58940426495601
grape,2025-08-27,2025-11-04,23.6,389.1,2.15,pre-cooled,11.742094061600358,,sealed_punnet,69,0.0
potato,2025-09-19,2025-11-04,6.7,203.9,2.07,pre-cooled,13.538103777255259,62.37079188206859,loose,46,4.6769894355426604
potato,2025-10-26,2025-11-03,7.5,345.6,1.87,waxed,3.414618427925248,74.35861653407008,perforated_bag,8,44.32519742013122
apple,2025-10-03,2025-11-04,14.6,223.7,2.28,none,7.066651889023058,85.46920127650012,carton,32,6.551246454971231
potato,2025-09-21,2025-11-04,5.6,323.9,0.24,waxed,8.502305813886169,64.03724913104799,perforated_bag,44,5.959292975071075
orange,2025-10-05,2025-11-04,11.7,200.5,0.67,waxed,10.48232007211401,,loose,30,0.9311698142322478
potato,2025-09-23,2025-11-03,6.3,283.4,0.17,none,5.025505849474133,61.10427533236404,sealed_punnet,41,11.628510443943748
grape,2025-09-08,2025-11-02,23.4,,1.97,waxed,7.726406002483291,100.0,sealed_punnet,55,0.0
grape,2025-09-26,2025-11-04,22.4,,0.4,waxed,5.157974769399678,65.11408892849083,carton,39,0.0
orange,2025-10-13,2025-11-03,11.7,143.6,1.2,washed,,73.6573189664249,sealed_punnet,21,8.980694668286386
banana,2025-09-20,2025-11-04,22.8,139.5,2.25,pre-cooled,6.959345802427611,74.80362201073319,carton,45,0.0
grape,2025-09-17,2025-11-02,17.7,363.8,1.99,waxed,8.556861634579612,72.16058189117466,perforated_bag,46,0.0
orange,2025-11-04,2025-09-03,11.7,132.4,3.72,waxed,8.535474011020463,56.46060386049567,loose,62,0.0
tomato,2025-10-21,2025-11-02,3.4,82.8,,pre-cooled,3.048716223651536,71.45892358552013,perforated_bag,12,3.8225516095568226
strawberry,2025-10-16,2025-11-03,10.0,184.1,5.0,pre-cooled,12.631569004774054,74.11717951648745,sealed_punnet,18,0.0
orange,2025-09-08,2025-11-02,11.3,,0.82,washed,0.260680724462925,78.02685348995986,carton,55,0.0
potato,2025-10-17,2025-11-03,4.3,,0.62,washed,2.9557298079213994,75.34083468259226,carton,17,35.47536714995974
grape,2025-09-13,2025-11-03,21.4,497.9,0.33,waxed,12.542713380142192,45.928760917664206,loose,51,0.0
potato,2025-09-28,2025-11-04,4.7,322.5,1.5,none,7.257057028098135,80.58326912521723,sealed_punnet,37,11.993746467574235
strawberry,2025-09-29,2025-11-02,,381.8,0.34,waxed,,88.14009474643899,perforated_bag,34,0.0
banana,2025-08-17,2025-11-02,21.1,146.1,1.59,washed,6.7343662012207925,100.0,perforated_bag,77,0.0
apple,2025-08-30,2025-11-02,12.2,131.4,0.53,washed,13.808382927118275,47.15286794117277,loose,64,0.0
orange,2025-10-03,2025-11-03,30.0,184.6,,pre-cooled,14.539956634562719,64.66294325437157,loose,31,0.0
orange,2025-10-25,2025-11-02,12.5,224.8,0.7,pre-cooled,11.676305931951074,72.09725455811349,perforated_bag,8,24.702216288842088
orange,2025-10-03,2025-11-04,12.9,203.3,1.13,washed,2.8902722509311083,88.13068515588715,carton,32,0.0
banana,2025-08-23,2025-11-03,19.0,135.2,0.42,,18.951037745086566,66.69372367622235,loose,72,0.0
strawberry,2025-10-29,2025-11-04,7.7,228.0,1.82,washed,7.523273010934501,75.53988418445793,carton,6,0.7768885420372558
banana,2025-09-13,2025-11-04,24.0,95.2,1.32,none,2.152504136635433,68.11333245037056,carton,52,0.0
potato,2025-09-10,2025-11-04,,303.8,1.4,none,6.790121254047486,76.60573981049865,perforated_bag,55,0.0
orange,2025-10-01,2025-11-04,9.8,167.8,,pre-cooled,17.15472827519069,73.71492519144194,perforated_bag,34,0.0
grape,2025-09-04,2025-11-04,16.2,240.9,1.55,pre-cooled,,69.2348959927328,sealed_punnet,61,0.0
potato,2025-11-04,2025-11-03,4.4,287.0,3.59,pre-cooled,5.954070452481013,80.79291499601088,,1,50.129835362407526
banana,2025-09-26,2025-11-04,20.9,123.8,0.54,pre-cooled,9.504653165450595,66.37094661249502,carton,39,0.0
tomato,2025-08-25,2025-11-02,5.8,132.5,2.48,waxed,5.323709045360333,85.39904687396077,perforated_bag,69,0.0
strawberry,2025-08-24,2025-11-03,9.6,309.2,,washed,10.231704015015477,87.14479133907346,carton,71,0.0
tomato,2025-10-23,2025-11-02,3.2,90.2,,none,12.040161742579869,76.36535331082737,carton,10,4.612213290243209
grape,2025-11-03,2025-11-02,18.4,272.4,2.48,washed,3.5925218003650583,87.98811324847053,sealed_punnet,0,15.785258942913517
tomato,2025-10-21,2025-11-04,4.1,82.5,3.13,,9.557112463988991,82.18953310665067,sealed_punnet,14,0.08080809438149972
potato,2025-10-04,2025-11-04,7.1,311.0,,washed,13.405897811347264,48.892549802707606,,31,16.26467159232798
banana,2025-09-01,2025-11-04,21.5,157.3,2.22,pre-cooled,8.228052499588339,,perforated_bag,64,0.0
grape,2025-10-08,2025-11-02,19.5,303.8,2.29,washed,5.620894981777351,62.18702326523145,perforated_bag,25,0.0
apple,2025-10-25,2025-11-04,11.7,226.1,,pre-cooled,6.922220093427303,83.15737212539297,carton,10,32.737559295806996
tomato,2025-09-28,2025-11-02,5.6,101.3,1.87,pre-cooled,8.665796640992625,82.34449033487655,carton,35,0.0
apple,2025-10-31,2025-11-04,14.9,147.8,3.7,pre-cooled,9.598751807010567,68.4864310620817,perforated_bag,4,35.099160403583724
orange,2025-09-22,2025-11-03,11.3,209.6,1.87,pre-cooled,2.5041180604226625,60.94115278822371,loose,42,0.0
orange,2025-10-22,2025-11-03,12.2,146.5,4.87,waxed,10.954883713569874,49.7937545494884,loose,12,14.641334081533003
tomato,2025-10-20,2025-11-03,3.0,171.3,0.24,pre-cooled,6.833949194228126,89.54810644991743,carton,14,1.9100414971610324
potto,2025-10-10,2025-11-02,7.5,298.3,0.25,pre-cooled,14.90785540493362,71.00363814385398,perforated_bag,23,25.74674365245776
banana,2025-11-03,2025-11-03,18.6,142.9,5.0,pre-cooled,9.499645772931018,69.27002195009054,sealed_punnet,0,9.762426412644682
orange,2025-09-19,2025-11-03,11.7,224.6,2.67,pre-cooled,22.307517883181987,74.50039476711771,loose,45,0.0
tomato,2025-10-28,2025-11-04,5.8,174.6,0.0,washed,9.347706160096084,68.50734421924075,carton,7,9.498353333762175
strawberry,2025-10-09,2025-11-03,8.4,333.9,,washed,5.751957942471902,73.78252491616716,carton,25,0.0
potato,2025-09-02,2025-11-04,5.5,293.0,0.32,pre-cooled,17.737046650958032,56.349313425938234,loose,63,0.0
potato,2025-10-08,2025-11-04,5.2,385.2,0.88,none,4.70443123455602,,loose,27,17.623592663317694
grape,2025-08-29,2025-11-04,19.9,196.7,,washed,5.42366684183568,88.90499781240747,carton,67,0.0
strawberry,2025-09-30,2025-11-02,8.4,183.8,,washed,4.1933638189146585,79.68774256075024,carton,33,0.0
apple,2025-10-29,2025-11-04,11.5,,0.57,pre-cooled,3.070874186149885,66.07544160643096,sealed_punnet,6,37.12235818839211
tomato,2025-09-29,2025-11-02,3.1,87.5,0.02,pre-cooled,7.914530822606255,,perforated_bag,34,0.0
tomato,2025-08-24,2025-11-04,5.2,38.480000000000004,1.26,pre-cooled,6.74123213341891,75.8733105791541,sealed_punnet,72,0.0
tomato,2025-09-07,2025-11-02,3.8,147.8,2.1,,8.38279403886548,62.45710576830751,carton,56,0.0
strawberry,2025-10-07,2025-11-04,7.0,362.7,,pre-cooled,9.86621441558823,53.4979801479763,loose,28,0.0
apple,2025-08-28,2025-11-02,13.3,130.6,0.42,waxed,12.882207776386126,55.595665931000134,loose,66,0.0
banana,2025-08-21,2025-11-02,20.5,,0.67,none,9.758098904730588,84.12011147160001,loose,73,0.0
strawberry,2025-09-01,2025-11-03,6.7,232.6,1.57,washed,8.770179104377323,50.40969592019695,loose,63,0.0
banana,2025-08-26,2025-11-02,20.7,178.6,1.32,washed,10.19763297897702,66.13698601115945,,68,0.0
banana,2025-09-22,2025-11-03,22.9,124.2,,pre-cooled,9.195011633462745,,perforated_bag,42,0.0
grape,2025-09-02,2025-11-03,19.2,470.3,0.34,washed,17.94072867353492,66.44092347614954,loose,62,0.0
orange,2025-09-02,2025-11-04,9.7,,0.49,waxed,4.995674003680378,70.96351536758003,sealed_punnet,63,0.0
banana,2025-09-16,2025-11-04,21.0,177.0,1.77,washed,12.957604819329823,62.89485765186418,loose,49,0.0
tomato,2025-09-14,2025-11-04,3.6,81.5,3.57,none,11.064278674977256,71.82875994815835,loose,51,0.0
tomato,2025-08-25,2025-11-04,6.4,178.3,5.0,pre-cooled,3.5838845188489685,80.96442339560672,carton,71,0.0
grape,2025-09-27,2025-11-02,20.0,87.98,0.46,none,-0.48741959603437834,68.92178012905568,perforated_bag,36,0.0
potato,2025-08-30,2025-11-04,5.4,262.6,2.64,none,5.738860894403673,70.89291340897583,perforated_bag,66,0.0
grape,2025-10-07,2025-11-02,21.1,194.2,0.36,none,7.211190271009828,74.75804393609084,sealed_punnet,26,0.0
strawberry,2025-10-29,2025-11-04,9.3,219.8,4.05,waxed,9.989666277416646,66.29117613171803,loose,6,0.0
potato,2025-10-10,2025-11-04,7.5,341.5,2.39,waxed,7.541723548976745,76.79581781939598,carton,25,27.49957839001165
apple,2025-08-24,2025-11-02,12.7,179.8,,none,3.1010628427046023,76.50136116371385,sealed_punnet,70,0.0
strawberry,2025-08-18,2025-11-04,9.0,379.5,2.54,pre-cooled,,74.0946671769584,carton,78,0.0
apple,2025-08-24,2025-11-02,11.7,233.5,1.89,waxed,8.665988260652881,69.7324456734501,carton,70,0.0
grape,2025-10-27,2025-11-04,18.4,359.4,0.43,washed,5.941741182336802,71.96820217165724,carton,8,5.414709102003661
ornge,2025-10-31,2025-11-02,11.4,236.0,2.58,waxed,9.713251849893986,83.99135713687492,perforated_bag,2,26.89707784960138
potato,2025-09-18,2025-11-02,4.3,357.8,0.51,pre-cooled,6.2101564893395444,86.6187830260819,carton,45,8.925800177752086
orange,2025-08-24,2025-11-02,10.7,161.2,4.31,waxed,,95.0,sealed_punnet,70,0.0
strawberry,2025-08-25,2025-11-03,8.4,325.7,,none,6.449113031954582,,perforated_bag,70,0.0
tomato,2025-10-04,2025-11-03,5.4,169.2,5.0,washed,,76.43339167606231,carton,30,0.0
strawberry,2025-10-14,2025-11-03,6.6,219.2,0.25,pre-cooled,4.164692727284144,74.62963202951588,carton,20,0.0
tomato,2025-10-12,2025-11-04,3.0,106.3,3.33,pre-cooled,10.975324810933774,60.082419059268446,loose,23,0.0
strawberry,2025-09-24,2025-11-04,6.3,304.3,1.03,washed,5.519601613300079,81.71340076450466,sealed_punnet,41,0.0
orange,2025-08-26,2025-11-03,10.6,174.8,2.78,waxed,6.403552591189,68.47103227588438,,69,0.0
strawberry,2025-09-16,2025-11-04,7.0,164.9,4.7,waxed,4.550816844949681,76.4679301198555,sealed_punnet,49,0.0
tomato,2025-10-04,2025-11-03,4.7,170.1,2.17,none,3.3355563128178702,71.93118851312627,sealed_punnet,30,0.0
